itr 	 pos_up 	 pos_down 	         mom_up 	 mom_down 	 ke_up 	 ke_down 	         e_up 	 e_down 	 mass_up 	 mass_down 
0 	 -9.9907346428233659 	 -nan 	  4.0007825161217703                             	 -nan 	 8.0280234073758621 	 -nan                             	 8.5305171861226832 	 -nan 	 1                             	 0 
50 	 -9.4906368282561893 	 -nan 	  4.0007825171145823                             	 -nan 	 8.0280234113556723 	 -nan                             	 8.5305171861227524 	 -nan 	 1                             	 0 
100 	 -8.9905390134753862 	 -nan 	  4.0007825198234439                             	 -nan 	 8.0280234222480971 	 -nan                             	 8.5305171861232356 	 -nan 	 1                             	 0 
150 	 -8.4904411981108385 	 -nan 	  4.0007825272371482                             	 -nan 	 8.0280234521515901 	 -nan                             	 8.5305171861241629 	 -nan 	 1                             	 0 
200 	 -7.9903433811450073 	 -nan 	  4.0007825475912808                             	 -nan 	 8.0280235345047224 	 -nan                             	 8.5305171861271436 	 -nan 	 1                             	 0 
250 	 -7.490245559775679 	 -nan 	  4.0007826036471208                             	 -nan 	 8.0280237620089441 	 -nan                             	 8.5305171861349756 	 -nan 	 1                             	 0 
300 	 -6.9901477262560432 	 -nan 	  4.0007827585105753                             	 -nan 	 8.0280243924648218 	 -nan                             	 8.5305171861570788 	 -nan 	 1                             	 0 
350 	 -6.4900498591083764 	 -nan 	  4.0007831876863609                             	 -nan 	 8.0280261450336727 	 -nan                             	 8.5305171862183968 	 -nan 	 1                             	 0 
400 	 -5.9899518985962708 	 -nan 	  4.0007843807928261                             	 -nan 	 8.0280310321236534 	 -nan                             	 8.5305171863906661 	 -nan 	 1                             	 0 
450 	 -5.4898536780589664 	 -nan 	  4.0007877079745171                             	 -nan 	 8.028044702354924 	 -nan                             	 8.5305171868758141 	 -nan 	 1                             	 0 
500 	 -4.9897547310879959 	 -nan 	  4.0007970150109236                             	 -nan 	 8.028083058586077 	 -nan                             	 8.5305171882443407 	 -nan 	 1                             	 0 
