itr 	 pos_up 	 pos_down 	         mom_up 	 mom_down 	 ke_up 	 ke_down 	         e_up 	 e_down 	 mass_up 	 mass_down 
0 	 -9.9907346428233694 	 -nan 	  4.0007825161184787                             	 -nan 	 8.0280234073625252 	 -nan                             	 8.7351301869080675 	 -nan 	 1                             	 0 
50 	 -9.4906368282715885 	 -nan 	  4.0007825168240556                             	 -nan 	 8.0280234101910022 	 -nan                             	 8.7351301869083979 	 -nan 	 1                             	 0 
100 	 -8.9905390135680712 	 -nan 	  4.0007825187489789                             	 -nan 	 8.0280234179314149 	 -nan                             	 8.7351301869086395 	 -nan 	 1                             	 0 
150 	 -8.4904411984496502 	 -nan 	  4.0007825240174757                             	 -nan 	 8.0280234391818546 	 -nan                             	 8.7351301869093128 	 -nan 	 1                             	 0 
200 	 -7.9903433821935206 	 -nan 	  4.0007825384817242                             	 -nan 	 8.0280234977046678 	 -nan                             	 8.735130186911352 	 -nan 	 1                             	 0 
250 	 -7.4902455628077034 	 -nan 	  4.0007825783169411                             	 -nan 	 8.0280236593766841 	 -nan                             	 8.7351301869168587 	 -nan 	 1                             	 0 
300 	 -6.9901477347879126 	 -nan 	  4.0007826883679591                             	 -nan 	 8.0280241073993626 	 -nan                             	 8.7351301869325901 	 -nan 	 1                             	 0 
350 	 -6.4900498828706503 	 -nan 	  4.0007829933538988                             	 -nan 	 8.0280253528300758 	 -nan                             	 8.7351301869761091 	 -nan 	 1                             	 0 
400 	 -5.9899519646060284 	 -nan 	  4.0007838412087979                             	 -nan 	 8.0280288257325569 	 -nan                             	 8.7351301870986777 	 -nan 	 1                             	 0 
450 	 -5.4898538615616497 	 -nan 	  4.0007862055625258                             	 -nan 	 8.0280385400290655 	 -nan                             	 8.7351301874431986 	 -nan 	 1                             	 0 
500 	 -4.9897552423117064 	 -nan 	  4.0007928190136139                             	 -nan 	 8.0280657953504289 	 -nan                             	 8.7351301884154591 	 -nan 	 1                             	 0 
